sample,task,pipeline,score,valid_json,source
deep_sea,summarization,A_oracle,0.3947,,supplied A/B score file
deep_sea,summarization,B_whisper_cascade,0.3544,,supplied A/B score file
deep_sea,summarization,C_qwen_transcript,0.37837837837837845,,recomputed from raw output
deep_sea,summarization,D_qwen_direct,0.16,,recomputed from raw output
deep_sea,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
deep_sea,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
deep_sea,keywords,C_qwen_transcript,0.0,1.0,recomputed from raw output
deep_sea,keywords,D_qwen_direct,0.2857142857142857,1.0,recomputed from raw output
deep_sea,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
deep_sea,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
language_acquisition,summarization,A_oracle,0.4407,,supplied A/B score file
language_acquisition,summarization,B_whisper_cascade,0.3438,,supplied A/B score file
language_acquisition,summarization,C_qwen_transcript,0.4406779661016949,,recomputed from raw output
language_acquisition,summarization,D_qwen_direct,0.48148148148148157,,recomputed from raw output
language_acquisition,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
language_acquisition,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
language_acquisition,keywords,C_qwen_transcript,0.5,1.0,recomputed from raw output
language_acquisition,keywords,D_qwen_direct,0.5714285714285714,1.0,recomputed from raw output
language_acquisition,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
language_acquisition,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
memory_formation,summarization,A_oracle,0.2985,,supplied A/B score file
memory_formation,summarization,B_whisper_cascade,0.2985,,supplied A/B score file
memory_formation,summarization,C_qwen_transcript,0.28125,,recomputed from raw output
memory_formation,summarization,D_qwen_direct,0.22857142857142854,,recomputed from raw output
memory_formation,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
memory_formation,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
memory_formation,keywords,C_qwen_transcript,0.23529411764705882,1.0,recomputed from raw output
memory_formation,keywords,D_qwen_direct,0.5714285714285714,1.0,recomputed from raw output
memory_formation,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
memory_formation,intent,D_qwen_direct,1.0,1.0,recomputed from raw output
microbiome,summarization,A_oracle,0.3333,,supplied A/B score file
microbiome,summarization,B_whisper_cascade,0.3279,,supplied A/B score file
microbiome,summarization,C_qwen_transcript,0.32786885245901637,,recomputed from raw output
microbiome,summarization,D_qwen_direct,0.48484848484848486,,recomputed from raw output
microbiome,sentiment,C_qwen_transcript,0.0,1.0,recomputed from raw output
microbiome,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
microbiome,keywords,C_qwen_transcript,0.6250000000000001,1.0,recomputed from raw output
microbiome,keywords,D_qwen_direct,0.42857142857142855,1.0,recomputed from raw output
microbiome,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
microbiome,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
nuclear_fusion,summarization,A_oracle,0.2813,,supplied A/B score file
nuclear_fusion,summarization,B_whisper_cascade,0.3099,,supplied A/B score file
nuclear_fusion,summarization,C_qwen_transcript,0.28125000000000006,,recomputed from raw output
nuclear_fusion,summarization,D_qwen_direct,0.24242424242424243,,recomputed from raw output
nuclear_fusion,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
nuclear_fusion,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
nuclear_fusion,keywords,C_qwen_transcript,0.5333333333333333,1.0,recomputed from raw output
nuclear_fusion,keywords,D_qwen_direct,0.6153846153846153,1.0,recomputed from raw output
nuclear_fusion,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
nuclear_fusion,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
ocean_currents,summarization,A_oracle,0.375,,supplied A/B score file
ocean_currents,summarization,B_whisper_cascade,0.375,,supplied A/B score file
ocean_currents,summarization,C_qwen_transcript,0.375,,recomputed from raw output
ocean_currents,summarization,D_qwen_direct,0.3333333333333333,,recomputed from raw output
ocean_currents,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
ocean_currents,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
ocean_currents,keywords,C_qwen_transcript,0.4615384615384615,1.0,recomputed from raw output
ocean_currents,keywords,D_qwen_direct,0.4615384615384615,1.0,recomputed from raw output
ocean_currents,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
ocean_currents,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
plastic_pollution,summarization,A_oracle,0.339,,supplied A/B score file
plastic_pollution,summarization,B_whisper_cascade,0.3051,,supplied A/B score file
plastic_pollution,summarization,C_qwen_transcript,0.3448275862068965,,recomputed from raw output
plastic_pollution,summarization,D_qwen_direct,0.2727272727272727,,recomputed from raw output
plastic_pollution,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
plastic_pollution,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
plastic_pollution,keywords,C_qwen_transcript,0.47058823529411764,1.0,recomputed from raw output
plastic_pollution,keywords,D_qwen_direct,0.14285714285714285,1.0,recomputed from raw output
plastic_pollution,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
plastic_pollution,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
remote_work,summarization,A_oracle,0.4375,,supplied A/B score file
remote_work,summarization,B_whisper_cascade,0.4375,,supplied A/B score file
remote_work,summarization,C_qwen_transcript,0.411764705882353,,recomputed from raw output
remote_work,summarization,D_qwen_direct,0.42424242424242425,,recomputed from raw output
remote_work,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
remote_work,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
remote_work,keywords,C_qwen_transcript,0.5333333333333333,1.0,recomputed from raw output
remote_work,keywords,D_qwen_direct,0.6153846153846153,1.0,recomputed from raw output
remote_work,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
remote_work,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
renewable_energy,summarization,A_oracle,0.3175,,supplied A/B score file
renewable_energy,summarization,B_whisper_cascade,0.2951,,supplied A/B score file
renewable_energy,summarization,C_qwen_transcript,0.31746031746031744,,recomputed from raw output
renewable_energy,summarization,D_qwen_direct,0.4150943396226415,,recomputed from raw output
renewable_energy,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
renewable_energy,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
renewable_energy,keywords,C_qwen_transcript,0.375,1.0,recomputed from raw output
renewable_energy,keywords,D_qwen_direct,0.42857142857142855,1.0,recomputed from raw output
renewable_energy,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
renewable_energy,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
sleep_science,summarization,A_oracle,0.24,,supplied A/B score file
sleep_science,summarization,B_whisper_cascade,0.2564,,supplied A/B score file
sleep_science,summarization,C_qwen_transcript,0.25,,recomputed from raw output
sleep_science,summarization,D_qwen_direct,0.2758620689655172,,recomputed from raw output
sleep_science,sentiment,C_qwen_transcript,0.0,1.0,recomputed from raw output
sleep_science,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
sleep_science,keywords,C_qwen_transcript,0.6666666666666666,1.0,recomputed from raw output
sleep_science,keywords,D_qwen_direct,0.2857142857142857,1.0,recomputed from raw output
sleep_science,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
sleep_science,intent,D_qwen_direct,1.0,1.0,recomputed from raw output
urban_biodiversity,summarization,A_oracle,0.2941,,supplied A/B score file
urban_biodiversity,summarization,B_whisper_cascade,0.3158,,supplied A/B score file
urban_biodiversity,summarization,C_qwen_transcript,0.34375000000000006,,recomputed from raw output
urban_biodiversity,summarization,D_qwen_direct,0.37333333333333335,,recomputed from raw output
urban_biodiversity,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
urban_biodiversity,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
urban_biodiversity,keywords,C_qwen_transcript,0.47058823529411764,1.0,recomputed from raw output
urban_biodiversity,keywords,D_qwen_direct,0.42857142857142855,1.0,recomputed from raw output
urban_biodiversity,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
urban_biodiversity,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
vaccine_development,summarization,A_oracle,0.4815,,supplied A/B score file
vaccine_development,summarization,B_whisper_cascade,0.5185,,supplied A/B score file
vaccine_development,summarization,C_qwen_transcript,0.423076923076923,,recomputed from raw output
vaccine_development,summarization,D_qwen_direct,0.29629629629629634,,recomputed from raw output
vaccine_development,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
vaccine_development,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
vaccine_development,keywords,C_qwen_transcript,0.28571428571428575,1.0,recomputed from raw output
vaccine_development,keywords,D_qwen_direct,0.30769230769230765,1.0,recomputed from raw output
vaccine_development,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
vaccine_development,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
