sample,normalized_wer,latency_seconds,transcript_raw,transcript_cleaned
deep_sea,0.0,9.514,"The original content of this audio is:'More than eighty percent of the ocean floor remains unexplored and unmapped. The deep sea is Earth's largest habitat, hosting creatures adapted to extreme pressure, complete darkness, and near-freezing temperatures. Every deep sea expedition discovers new species, reminding us that we know more about the surface of Mars than about our own planet's deepest waters.'","More than eighty percent of the ocean floor remains unexplored and unmapped. The deep sea is Earth's largest habitat, hosting creatures adapted to extreme pressure, complete darkness, and near-freezing temperatures. Every deep sea expedition discovers new species, reminding us that we know more about the surface of Mars than about our own planet's deepest waters."
language_acquisition,0.0,3.873,"Children acquire language not through explicit instruction but through immersion and social interaction. By age three, the average child has a vocabulary of about one thousand words, and by age six, approximately ten thousand. This remarkable feat of implicit learning reveals the brain's specialized capacity for pattern recognition during critical developmental windows.","Children acquire language not through explicit instruction but through immersion and social interaction. By age three, the average child has a vocabulary of about one thousand words, and by age six, approximately ten thousand. This remarkable feat of implicit learning reveals the brain's specialized capacity for pattern recognition during critical developmental windows."
memory_formation,0.017857142857142856,4.551,"Memories are not stored like files in a computer. Each time we recall a memory, we reconstruct it from scattered neural traces, and in the process, the memory itself can be subtly altered. This phenomenon, known as consolidation, explains why eyewitness testimony can be unreliable, and why traumatic memories can either fade or intensify over time.","Memories are not stored like files in a computer. Each time we recall a memory, we reconstruct it from scattered neural traces, and in the process, the memory itself can be subtly altered. This phenomenon, known as consolidation, explains why eyewitness testimony can be unreliable, and why traumatic memories can either fade or intensify over time."
microbiome,0.0,3.777,"The human gut contains trillions of microorganisms that influence not just digestion but also immune function, mental health, and even personality traits. Recent research has identified specific bacterial strains linked to reduced anxiety and improved cognitive performance, opening new avenues for treating mental health conditions through dietary interventions.","The human gut contains trillions of microorganisms that influence not just digestion but also immune function, mental health, and even personality traits. Recent research has identified specific bacterial strains linked to reduced anxiety and improved cognitive performance, opening new avenues for treating mental health conditions through dietary interventions."
nuclear_fusion,0.0,4.161,"'Nuclear fusion promises virtually unlimited clean energy by replicating the process that powers the sun. Recent breakthroughs have achieved net energy gain for the first time, meaning more energy was produced than was used to initiate the reaction. However, the engineering challenge of building commercially viable fusion power plants remains enormous.'","Nuclear fusion promises virtually unlimited clean energy by replicating the process that powers the sun. Recent breakthroughs have achieved net energy gain for the first time, meaning more energy was produced than was used to initiate the reaction. However, the engineering challenge of building commercially viable fusion power plants remains enormous."
ocean_currents,0.0,3.54,"Ocean currents act as a global conveyor belt transporting warm water from the equator toward the poles and cold water back. This circulation system, known as thermohaline circulation, plays a critical role in regulating Earth's climate by redistributing heat around the planet.","Ocean currents act as a global conveyor belt transporting warm water from the equator toward the poles and cold water back. This circulation system, known as thermohaline circulation, plays a critical role in regulating Earth's climate by redistributing heat around the planet."
plastic_pollution,0.0,4.877,"Microplastics have been found everywhere scientists have looked, in the deepest ocean trenches, in Arctic ice, in human blood, and even in placental tissue. These tiny particles carry toxic chemicals and can disrupt hormonal systems. The scale of the problem is staggering; approximately eight million tons of plastic enter the oceans each year, breaking down into ever smaller particles that persist for centuries.","Microplastics have been found everywhere scientists have looked, in the deepest ocean trenches, in Arctic ice, in human blood, and even in placental tissue. These tiny particles carry toxic chemicals and can disrupt hormonal systems. The scale of the problem is staggering; approximately eight million tons of plastic enter the oceans each year, breaking down into ever smaller particles that persist for centuries."
remote_work,0.0,4.414,"The original content of this audio is: 'remote work has fundamentally altered the geography of employment for the first time in history, a significant portion of the workforce can choose where they live independently of where their employer is located. This shift has profound implications for urban planning, real estate markets, and the economic vitality of smaller cities and rural areas.'","remote work has fundamentally altered the geography of employment for the first time in history, a significant portion of the workforce can choose where they live independently of where their employer is located. This shift has profound implications for urban planning, real estate markets, and the economic vitality of smaller cities and rural areas."
renewable_energy,0.0,4.188,"'Solar and wind energy have reached a critical tipping point. In many parts of the world, building new renewable energy capacity is now cheaper than continuing to operate existing coal and gas plants. The challenge is no longer economic feasibility, but the speed of infrastructure deployment and grid modernization needed to handle intermittent power sources.'","Solar and wind energy have reached a critical tipping point. In many parts of the world, building new renewable energy capacity is now cheaper than continuing to operate existing coal and gas plants. The challenge is no longer economic feasibility, but the speed of infrastructure deployment and grid modernization needed to handle intermittent power sources."
sleep_science,0.0,4.089,"'During sleep, the brain performs essential maintenance. Cerebrospinal fluid flows through the brain in rhythmic waves, clearing out metabolic waste products, including beta amyloid proteins associated with Alzheimer's disease. This discovery suggests that chronic sleep deprivation may have more serious long-term consequences than previously understood.'","During sleep, the brain performs essential maintenance. Cerebrospinal fluid flows through the brain in rhythmic waves, clearing out metabolic waste products, including beta amyloid proteins associated with Alzheimer's disease. This discovery suggests that chronic sleep deprivation may have more serious long-term consequences than previously understood."
urban_biodiversity,0.06666666666666667,3.743,The original content of this audio is: 'cities are not biological deserts urban environments can support surprising biodiversity when designed intentionally green roofs pocket parks and wildlife corridors transform concrete landscapes into habitats for birds insects and native plants but challenges integrating ecological thinking into the earliest stages of urban planning.',cities are not biological deserts urban environments can support surprising biodiversity when designed intentionally green roofs pocket parks and wildlife corridors transform concrete landscapes into habitats for birds insects and native plants but challenges integrating ecological thinking into the earliest stages of urban planning.
vaccine_development,0.02,3.787,"The development of MRNA vaccines represents one of the most significant medical breakthroughs of the twenty-first century. Unlike traditional vaccines that use weakened or deactivated viruses, MRNA vaccines teach our cells to produce a protein that triggers an immune response, dramatically accelerating the development timeline from years to months.","The development of MRNA vaccines represents one of the most significant medical breakthroughs of the twenty-first century. Unlike traditional vaccines that use weakened or deactivated viruses, MRNA vaccines teach our cells to produce a protein that triggers an immune response, dramatically accelerating the development timeline from years to months."
